"gid","rid","pid","fnm","lnm","htm","atm","dt","d","dc","g","rx","ry","lcx","lcy","dst","shtp","shza","shzb"
"0021300311",345,2561,"David","West","IND","MIA","2013-12-10","MISS West 21' Jump Shot",1.239,-30.785,81.263,6.23,-164,123,20,"JMP","LC","MR"
"0021300311",347,201596,"Mario","Chalmers","IND","MIA","2013-12-10","MISS Chalmers 25' 3PT Jump Shot",1.692,-30.862,7.834,2.425,245,11,24,"JMP","R","RC3"
"0021300311",390,2548,"Dwyane","Wade","IND","MIA","2013-12-10","MISS Wade 18' Jump Shot",1.496,-31.875,8.95,44.008,-175,12,17,"JMP","L","MR"
"0021300311",49,2203,"Shane","Battier","IND","MIA","2013-12-10","MISS Battier 25' 3PT Jump Shot",1.076,-32.057,69.053,38.649,190,168,25,"JMP","RC","AB3"
"0021300311",493,2544,"LeBron","James","IND","MIA","2013-12-10","MISS James 25' 3PT Jump Shot",1.347,-31.587,29.686,30.785,-24,247,24,"JMP","C","AB3"
"0021300312",142,201988,"Patty","Mills","TOR","SAS","2013-12-10","MISS Mills 26' 3PT Jump Shot",1.498,-31.329,29.914,25.122,-13,263,26,"JMP","C","AB3"
"0021300312",155,201948,"Austin","Daye","TOR","SAS","2013-12-10","MISS Daye 24' 3PT Jump Shot",1.237,-31.659,75.795,5.535,-199,135,24,"JMP","LC","AB3"
"0021300312",198,1938,"Manu","Ginobili","TOR","SAS","2013-12-10","MISS Ginobili 25' 3PT Jump Shot",2.053,-32.272,20.498,43.358,-223,121,25,"JMP","LC","AB3"
"0021300313",198,201960,"DeMarre","Carroll","ATL","OKC","2013-12-10","MISS Carroll 17' Jump Shot",1.394,-33.347,88.873,42.019,166,7,16,"JMP","R","MR"
"0021300313",332,201143,"Al","Horford","ATL","OKC","2013-12-10","MISS Horford 9' Turnaround Fadeaway Shot",1.365,-33.624,15.657,25.725,9,91,9,"TFS","C","PNT"
"0021300314",354,201145,"Jeff","Green","BKN","BOS","2013-12-10","MISS Green 22' Jump Shot",1.233,-31.545,23.645,19.461,31,214,21,"JMP","C","MR"
"0021300314",416,101154,"Andray","Blatche","BKN","BOS","2013-12-10","MISS Blatche 17' Pullup Jump Shot",1.349,-31.149,72.634,24.579,6,172,17,"PUJ","C","MR"
"0021300316",265,2399,"Mike","Dunleavy","CHI","MIL","2013-12-10","MISS Dunleavy 21' Jump Shot",1.356,-31.446,23.254,14.566,78,197,21,"JMP","RC","MR"
"0021300316",499,202327,"Ekpe","Udoh","CHI","MIL","2013-12-10","MISS Udoh 23' Jump Shot",1.755,-32.226,69.109,23.32,2,227,22,"JMP","C","MR"
"0021300317",309,201609,"Goran","Dragic","LAL","PHX","2013-12-10","MISS Dragic 15' Jump Shot",1.558,-31.482,20.834,18.929,81,123,14,"JMP","R","MR"
"0021300318",120,202689,"Kemba","Walker","CHA","ORL","2013-12-11","MISS Walker 16' Jump Shot",1.043,-31.068,10.032,10.292,144,80,16,"JMP","R","MR"
"0021300318",188,202734,"E'Twaun","Moore","CHA","ORL","2013-12-11","MISS Moore 24' 3PT Jump Shot",1.535,-32.019,89.785,2.921,-234,25,23,"JMP","L","LC3"
"0021300318",268,201945,"Gerald","Henderson","CHA","ORL","2013-12-11","MISS Henderson 18' Jump Shot",0.227,-31.63,25.394,18.562,-123,132,18,"JMP","LC","MR"
"0021300318",375,201175,"Glen","Davis","CHA","ORL","2013-12-11","MISS Davis 12' Turnaround Fadeaway Shot",1.946,-32.185,13.991,15.722,99,63,11,"TFS","R","MR"
"0021300318",91,201167,"Arron","Afflalo","CHA","ORL","2013-12-11","MISS Afflalo 18' Jump Shot",1.66,-29.711,87.022,3.779,181,19,18,"JMP","R","MR"
"0021300319",253,201145,"Jeff","Green","BOS","LAC","2013-12-11","MISS Green 19' Jump Shot",1.112,-32.04,7.698,7.442,185,6,18,"JMP","R","MR"
"0021300319",286,101138,"Brandon","Bass","BOS","LAC","2013-12-11","MISS Bass 6' Running Hook Shot",1.419,-28.268,82.864,34.117,-41,48,6,"RHS","C","PNT"
"0021300319",435,1536,"Stephen","Jackson","BOS","LAC","2013-12-11","MISS Jackson  3PT Jump Shot",1.601,-28.528,4.123,3.609,231,-17,23,"JMP","R","RC3"
"0021300320",181,202720,"Jon","Leuer","MEM","OKC","2013-12-11","MISS Leuer 13' Jump Shot",1.495,-32.043,90.015,38.32,114,72,13,"JMP","R","MR"
"0021300320",225,2419,"Tayshaun","Prince","MEM","OKC","2013-12-11","MISS Prince 19' Step Back Jump Shot",1.465,-30.611,69.372,30.044,124,146,19,"SBJ","RC","MR"
"0021300321",411,101141,"Ersan","Ilyasova","MIL","SAS","2013-12-11","MISS Ilyasova 21' Jump Shot",1.11,-32.457,68.835,14.705,-185,105,21,"JMP","L","MR"
"0021300321",478,2564,"Boris","Diaw","MIL","SAS","2013-12-11","MISS Diaw 16' Jump Shot",1.309,-33.426,21.756,20.269,40,160,16,"JMP","C","MR"
"0021300322",278,201152,"Thaddeus","Young","MIN","PHI","2013-12-11","MISS Young 14' Fadeaway Jumper",1.388,-27.527,81.992,31.474,119,78,14,"FDE","R","MR"
"0021300322",291,202323,"Evan","Turner","MIN","PHI","2013-12-11","MISS Turner  3PT Jump Shot",1.142,-32.236,88.524,3.073,-221,44,22,"JMP","L","LC3"
"0021300323",525,201943,"Brandon","Jennings","NOP","DET","2013-12-11","MISS Jennings 26' 3PT Jump Shot",1.434,-31.559,29.013,11.409,40,261,26,"JMP","C","AB3"
"0021300324",380,203503,"Tony","Snell","NYK","CHI","2013-12-11","MISS Snell 9' Driving Jump Shot",1.181,-30.53,14.154,23.839,10,85,8,"DJS","C","PNT"
"0021300324",393,203104,"Marquis","Teague","NYK","CHI","2013-12-11","MISS Teague 25' 3PT Jump Shot",1.144,-31.71,26.329,12.64,102,233,25,"JMP","RC","AB3"
"0021300324",508,2399,"Mike","Dunleavy","NYK","CHI","2013-12-11","MISS Dunleavy 26' 3PT Jump Shot",2.383,-30.879,30.875,38.598,-125,233,26,"JMP","LC","AB3"
"0021300326",270,201939,"Stephen","Curry","GSW","DAL","2013-12-11","MISS Curry 26' 3PT Jump Shot",0.872,-30.848,64.325,27.733,58,254,26,"JMP","C","AB3"
"0021300326",391,203084,"Harrison","Barnes","GSW","DAL","2013-12-11","MISS Barnes 25' 3PT Jump Shot",1.434,-32.653,86.187,47.18,242,69,25,"JMP","R","RC3"
"0021300326",404,1717,"Dirk","Nowitzki","GSW","DAL","2013-12-11","MISS Nowitzki 13' Fadeaway Jumper",1.37,-33.551,19.388,30.534,-59,112,12,"FDE","C","PNT"
"0021300327",274,2037,"Jamal","Crawford","BKN","LAC","2013-12-12","MISS Crawford 26' 3PT Jump Shot",1.234,-32.263,64.487,31.118,89,246,26,"JMP","RC","AB3"
"0021300328",253,201976,"Patrick","Beverley","POR","HOU","2013-12-12","MISS Beverley 13' Jump Shot",1.328,-33.308,77.269,25.441,0,127,12,"JMP","C","PNT"
"0021300328",35,203093,"Terrence","Jones","POR","HOU","2013-12-12","MISS Jones 6' Jump Shot",1.559,-31.549,91.321,17.046,-64,3,6,"JMP","C","PNT"
"0021300328",422,202391,"Jeremy","Lin","POR","HOU","2013-12-12","MISS Lin 25' 3PT Jump Shot",1.848,-31.858,29.724,18.487,37,244,24,"JMP","C","AB3"
"0021300328",451,202718,"Chandler","Parsons","POR","HOU","2013-12-12","MISS Parsons 21' Jump Shot",1.492,-30.463,12.14,44.893,-204,42,20,"JMP","L","MR"
"0021300328",510,201976,"Patrick","Beverley","POR","HOU","2013-12-12","MISS Beverley 7' Running Jump Shot",1.304,-28.494,13.286,30.166,-46,48,6,"RJ","C","PNT"
"0021300330",159,203079,"Dion","Waiters","ORL","CLE","2013-12-13","MISS Waiters 24' 3PT Jump Shot",1.279,-32.697,4.883,47.833,-235,-10,23,"JMP","L","LC3"
"0021300330",248,201175,"Glen","Davis","ORL","CLE","2013-12-13","MISS Davis 15' Jump Shot",1.374,-31.805,20.231,23.069,17,149,14,"JMP","C","MR"
"0021300330",407,202699,"Tobias","Harris","ORL","CLE","2013-12-13","MISS Harris 17' Jump Shot",2.141,-30.891,10.883,39.438,-163,39,16,"JMP","L","MR"
"0021300330",469,202681,"Kyrie","Irving","ORL","CLE","2013-12-13","MISS Irving 26' 3PT Jump Shot",1.951,-31.461,66.929,38.579,184,189,26,"JMP","RC","AB3"
"0021300331",100,200768,"Kyle","Lowry","TOR","PHI","2013-12-13","MISS Lowry 26' 3PT Pullup Jump Shot",1.666,-31.398,29.328,35.223,-164,197,25,"PUJ","LC","AB3"
"0021300331",137,203485,"Lorenzo","Brown","TOR","PHI","2013-12-13","MISS Brown  3PT Jump Shot",1.43,-30.283,89.2,2.068,-226,4,22,"JMP","L","LC3"
"0021300332",141,202066,"Garrett","Temple","ATL","WAS","2013-12-13","MISS Temple 21' Jump Shot",1.698,-32.445,22.239,11.372,127,165,20,"JMP","RC","MR"
"0021300332",292,202322,"John","Wall","ATL","WAS","2013-12-13","MISS Wall 26' 3PT Jump Shot",1.438,-31.561,68.037,41.169,176,194,26,"JMP","RC","AB3"
"0021300332",410,1882,"Elton","Brand","ATL","WAS","2013-12-13","MISS Brand 12' Jump Shot",1.39,-28.987,16.393,20.497,36,112,11,"JMP","C","PNT"
"0021300333",134,203501,"Tim","Hardaway Jr.","BOS","NYK","2013-12-13","MISS Hardaway Jr. 16' Pullup Jump Shot",1.501,-30.293,88.222,41.011,157,19,15,"PUJ","R","MR"
"0021300333",286,202697,"Iman","Shumpert","BOS","NYK","2013-12-13","MISS Shumpert 19' Fadeaway Jumper",1.445,-30.798,23.648,31.82,-62,179,18,"FDE","LC","MR"
"0021300333",296,202697,"Iman","Shumpert","BOS","NYK","2013-12-13","MISS Shumpert 26' 3PT Pullup Jump Shot",1.263,-31.012,24.828,6.275,165,197,25,"PUJ","RC","AB3"
"0021300333",321,2222,"Gerald","Wallace","BOS","NYK","2013-12-13","MISS Wallace 26' 3PT Jump Shot",1.564,-30.995,76.333,3.187,-209,153,25,"JMP","LC","AB3"
"0021300335",78,201583,"Ryan","Anderson","NOP","MEM","2013-12-13","MISS Anderson 25' 3PT Jump Shot",1.511,-31.706,30.25,28.609,12,247,24,"JMP","C","AB3"
"0021300336",133,202704,"Reggie","Jackson","OKC","LAL","2013-12-13","MISS Jackson 24' 3PT Pullup Jump Shot",1.238,-31.416,65.417,16.027,-30,241,24,"PUJ","C","AB3"
"0021300336",495,203103,"Perry","Jones III","OKC","LAL","2013-12-13","MISS Jones 25' 3PT Jump Shot",2.291,-30.956,21.026,43.161,-175,179,25,"JMP","LC","AB3"
"0021300338",246,201147,"Corey","Brewer","SAS","MIN","2013-12-13","MISS Brewer 13' Running Jump Shot",3.174,-30.471,90.393,36.179,125,15,12,"RJ","R","MR"
"0021300338",384,200826,"J.J.","Barea","SAS","MIN","2013-12-13","MISS Barea 20' Jump Shot",1.505,-31.931,12.238,6.377,192,39,19,"JMP","R","MR"
"0021300339",20,200751,"Randy","Foye","DEN","UTA","2013-12-13","MISS Foye 24' 3PT Jump Shot",1.45,-31.894,65.069,22.343,-27,241,24,"JMP","C","AB3"
"0021300340",3,203463,"Ben","McLemore","PHX","SAC","2013-12-13","MISS McLemore 20' Jump Shot",2.426,-31.224,69.196,28.061,84,186,20,"JMP","RC","MR"
"0021300340",41,202326,"DeMarcus","Cousins","PHX","SAC","2013-12-13","MISS Cousins 17' Jump Shot",2.436,-31.691,86.222,8.035,-161,61,17,"JMP","L","MR"
"0021300340",506,200782,"PJ","Tucker","PHX","SAC","2013-12-13","MISS Tucker 24' 3PT Jump Shot",1.558,-34.398,89.478,46.327,239,-8,23,"JMP","R","RC3"
"0021300341",269,201935,"James","Harden","GSW","HOU","2013-12-13","MISS Harden 20' Step Back Jump Shot",1.552,-31.839,26.252,27.131,-95,178,20,"SBJ","LC","MR"
"0021300341",300,101135,"David","Lee","GSW","HOU","2013-12-13","MISS Lee 6' Hook Shot",11.247,-27.442,5.443,25.575,-51,34,6,"HK","C","PNT"
"0021300341",385,201935,"James","Harden","GSW","HOU","2013-12-13","MISS Harden 26' 3PT Jump Shot",2.552,-31.625,27.954,18.433,-51,254,25,"JMP","C","AB3"
"0021300342",255,977,"Kobe","Bryant","CHA","LAL","2013-12-14","MISS Bryant 25' 3PT Jump Shot",1.765,-30.945,29.694,22.072,-29,246,24,"JMP","C","AB3"
"0021300342",414,200761,"Shawne","Williams","CHA","LAL","2013-12-14","MISS Shaw. Williams 17' Jump Shot",1.489,-31.978,17.403,13.255,124,121,17,"JMP","RC","MR"
"0021300343",140,202344,"Trevor","Booker","WAS","LAC","2013-12-14","MISS Booker 20' Jump Shot",1.279,-31.113,8.918,5.584,195,37,19,"JMP","R","MR"
"0021300344",268,202681,"Kyrie","Irving","MIA","CLE","2013-12-14","MISS Irving 26' 3PT Jump Shot",1.416,-30.915,30.74,19.358,1,255,25,"JMP","C","AB3"
"0021300344",361,202681,"Kyrie","Irving","MIA","CLE","2013-12-14","MISS Irving 27' 3PT Jump Shot",1.481,-32.355,64.782,39.172,174,209,27,"JMP","RC","AB3"
"0021300347",285,201150,"Spencer","Hawes","PHI","POR","2013-12-14","MISS Hawes 25' 3PT Jump Shot",1.089,-30.997,62.998,22.838,-8,252,25,"JMP","C","AB3"
"0021300347",362,202341,"James","Anderson","PHI","POR","2013-12-14","MISS Anderson 20' Jump Shot",0.812,-31.153,67.115,25.58,1,203,20,"JMP","C","MR"
"0021300348",36,101141,"Ersan","Ilyasova","DAL","MIL","2013-12-14","MISS Ilyasova 23' Fadeaway Jumper",1.029,-31.063,66.439,16.488,-105,206,23,"FDE","LC","MR"
"0021300349",278,202324,"Derrick","Favors","UTA","SAS","2013-12-14","MISS Favors 7' Jump Shot",1.846,-32.17,13.602,25.123,2,72,7,"JMP","C","PNT"
"0021300350",367,201166,"Aaron","Brooks","SAC","HOU","2013-12-15","MISS Brooks 29' 3PT Jump Shot",1.322,-30.825,62.557,33.2,144,250,28,"JMP","RC","AB3"
"0021300351",208,201144,"Mike","Conley","MEM","MIN","2013-12-15","MISS Conley 25' 3PT Jump Shot",1.592,-31.901,65.512,19.649,-97,231,25,"JMP","LC","AB3"
"0021300351",218,201593,"Nikola","Pekovic","MEM","MIN","2013-12-15","MISS Pekovic 18' Jump Shot",1.352,-32.057,24.556,27.567,-10,176,17,"JMP","C","MR"
"0021300351",433,201144,"Mike","Conley","MEM","MIN","2013-12-15","MISS Conley 18' Jump Shot",1.115,-32.054,23.825,23.535,29,179,18,"JMP","C","MR"
"0021300353",375,202704,"Reggie","Jackson","OKC","ORL","2013-12-15","MISS Jackson 11' Jump Shot",1.786,-29.232,6.014,13.995,113,12,11,"JMP","R","MR"
"0021300353",416,965,"Derek","Fisher","OKC","ORL","2013-12-15","MISS Fisher 24' 3PT Jump Shot",1.51,-31.614,23.515,40.641,-158,179,23,"JMP","LC","AB3"
"0021300353",68,201142,"Kevin","Durant","OKC","ORL","2013-12-15","MISS Durant 16' Jump Shot",1.825,-31.963,73.696,18.779,-56,151,16,"JMP","LC","MR"
"0021300354",211,200751,"Randy","Foye","DEN","NOP","2013-12-15","MISS Foye 18' Jump Shot",1.02,-33.176,87.416,42.444,181,20,18,"JMP","R","MR"
"0021300354",225,201951,"Ty","Lawson","DEN","NOP","2013-12-15","MISS Lawson 25' 3PT Jump Shot",1.665,-31.087,69.31,15.144,-120,216,24,"JMP","LC","AB3"
"0021300354",554,203085,"Austin","Rivers","DEN","NOP","2013-12-15","MISS Rivers 26' 3PT Jump Shot",1.366,-30.33,25.404,9.253,-168,197,25,"JMP","LC","AB3"
"0021300355",131,202694,"Marcus","Morris","PHX","GSW","2013-12-15","MISS Marc Morris  3PT Jump Shot",1.074,-31.2,7.593,2.904,233,0,23,"JMP","R","RC3"
"0021300356",174,101198,"Will","Bynum","IND","DET","2013-12-16","MISS Bynum 19' Jump Shot",1.197,-31.531,72.058,36.524,138,135,19,"JMP","RC","MR"
"0021300356",97,202713,"Kyle","Singler","IND","DET","2013-12-16","MISS Singler 27' 3PT Jump Shot",1.361,-32.072,73.168,6.095,-163,209,26,"JMP","LC","AB3"
"0021300357",246,201952,"Jeff","Teague","ATL","LAL","2013-12-16","MISS Teague 12' Fadeaway Jumper",1.341,-30.016,78.893,30.694,67,97,11,"FDE","R","PNT"
"0021300357",435,202333,"Xavier","Henry","ATL","LAL","2013-12-16","MISS Henry  3PT Jump Shot",1.524,-32.466,88.433,5.278,-231,15,23,"JMP","L","LC3"
"0021300358",157,200826,"J.J.","Barea","BOS","MIN","2013-12-16","MISS Barea 17' Floating Jump Shot",1.594,-31.478,78.518,40.668,147,94,17,"FJS","R","MR"
"0021300358",397,202348,"Jordan","Crawford","BOS","MIN","2013-12-16","MISS Crawford 18' Turnaround Fadeaway Shot",1.647,-31.488,85.391,43.647,181,37,18,"TFS","R","MR"
"0021300359",357,202323,"Evan","Turner","BKN","PHI","2013-12-16","MISS Turner 17' Jump Shot",1.267,-30.56,8.061,42.476,-171,0,17,"JMP","L","MR"
"0021300361",158,2405,"Amar'e","Stoudemire","NYK","WAS","2013-12-16","MISS Stoudemire 12' Jump Shot",2.081,-31.361,7.68,37.767,-117,6,11,"JMP","L","MR"
"0021300362",333,203506,"Victor","Oladipo","CHI","ORL","2013-12-16","MISS Oladipo 19' Jump Shot",1.669,-32.307,83.665,40.804,151,115,18,"JMP","RC","MR"
"0021300364",173,201196,"Ramon","Sessions","CHA","SAC","2013-12-17","MISS Sessions 11' Jump Shot",1.382,-29.985,11.178,34.541,-98,52,11,"JMP","L","MR"
"0021300364",389,202738,"Isaiah","Thomas","CHA","SAC","2013-12-17","MISS Thomas 25' 3PT Jump Shot",1.431,-31.328,27.234,16.163,92,231,24,"JMP","RC","AB3"
"0021300365",157,2748,"Dorell","Wright","CLE","POR","2013-12-17","MISS Wright  3PT Step Back Jump Shot",0.893,-31.947,90.51,2.503,-226,1,22,"SBJ","L","LC3"
"0021300365",259,201587,"Nicolas","Batum","CLE","POR","2013-12-17","MISS Batum 30' 3PT Jump Shot",1.346,-32.04,70.153,45.266,176,244,30,"JMP","RC","AB3"
"0021300366",222,2200,"Pau","Gasol","MEM","LAL","2013-12-17","MISS Gasol 11' Turnaround Fadeaway Shot",1.832,-32.424,6.676,34.213,-101,36,10,"TFS","L","MR"
"0021300366",227,2754,"Tony","Allen","MEM","LAL","2013-12-17","MISS Allen 25' 3PT Jump Shot",1.047,-31.466,82.409,46.421,237,63,24,"JMP","R","RC3"
"0021300366",317,201156,"Nick","Young","MEM","LAL","2013-12-17","MISS Young 7' Pullup Jump Shot",1.534,-30.7,89.71,16.358,-65,20,6,"PUJ","C","PNT"
"0021300368",287,201583,"Ryan","Anderson","GSW","NOP","2013-12-17","MISS Anderson 19' Pullup Jump Shot",1.952,-31.455,73.713,40.985,147,123,19,"PUJ","RC","MR"
"0021300369",5,2548,"Dwyane","Wade","MIA","IND","2013-12-18","MISS Wade 13' Jump Shot",1.354,-32.503,17.474,28.448,-59,116,13,"JMP","C","PNT"
"0021300370",37,201175,"Glen","Davis","ORL","UTA","2013-12-18","MISS Davis 15' Jump Shot",1.559,-32.087,13,10.864,129,72,14,"JMP","R","MR"
"0021300370",472,203504,"Trey","Burke","ORL","UTA","2013-12-18","MISS Burke 24' 3PT Jump Shot",1.827,-31.915,18.027,4.675,146,195,24,"JMP","RC","AB3"
"0021300370",483,201175,"Glen","Davis","ORL","UTA","2013-12-18","MISS Davis 19' Jump Shot",1.588,-31.271,70.168,21.693,-30,187,18,"JMP","C","MR"
"0021300370",510,202699,"Tobias","Harris","ORL","UTA","2013-12-18","MISS Harris 16' Jump Shot",1.497,-31.609,80.102,8.771,-142,63,15,"JMP","L","MR"
"0021300371",138,203469,"Cody","Zeller","TOR","CHA","2013-12-18","MISS Zeller 20' Jump Shot",0.842,-30.597,72.284,31.858,127,153,19,"JMP","RC","MR"
"0021300373",461,202348,"Jordan","Crawford","BOS","DET","2013-12-18","MISS Crawford 26' 3PT Jump Shot",1.231,-32.419,65.878,35.873,184,190,26,"JMP","RC","AB3"
"0021300373",88,202348,"Jordan","Crawford","BOS","DET","2013-12-18","MISS Crawford 25' 3PT Jump Shot",1.349,-32.531,31.94,25.277,-114,228,25,"JMP","LC","AB3"
"0021300374",399,202322,"John","Wall","BKN","WAS","2013-12-18","MISS Wall 17' Jump Shot",1.576,-31.866,14.41,40.597,-160,50,16,"JMP","L","MR"
"0021300374",439,203078,"Bradley","Beal","BKN","WAS","2013-12-18","MISS Beal 19' Jump Shot",1.954,-31.034,15.252,44.837,-174,75,18,"JMP","L","MR"
"0021300375",337,203114,"Khris","Middleton","MIL","NYK","2013-12-18","MISS Middleton 21' Jump Shot",1.125,-32.18,21.713,41.424,-147,154,21,"JMP","LC","MR"
"0021300375",479,2747,"JR","Smith","MIL","NYK","2013-12-18","MISS Smith 26' 3PT Jump Shot",1.385,-32.873,63.914,30.644,51,260,26,"JMP","C","AB3"
"0021300378",441,202339,"Eric","Bledsoe","PHX","SAS","2013-12-18","MISS Bledsoe 18' Jump Shot",1.641,-32.18,19.828,12.057,121,138,18,"JMP","RC","MR"
"0021300378",52,200782,"PJ","Tucker","PHX","SAS","2013-12-18","MISS Tucker 22' Jump Shot",1.273,-32.017,68.832,11.513,-112,195,22,"JMP","LC","MR"
"0021300379",345,201935,"James","Harden","HOU","CHI","2013-12-18","MISS Harden 24' 3PT Jump Shot",1.812,-30.883,64.339,23.64,26,239,24,"JMP","C","AB3"
"0021300380",297,201569,"Eric","Gordon","LAC","NOP","2013-12-18","MISS Gordon 22' Jump Shot",1.684,-31.447,69.221,34.168,97,195,21,"JMP","RC","MR"
"0021300381",227,203503,"Tony","Snell","OKC","CHI","2013-12-19","MISS Snell  3PT Jump Shot",1.858,-30.098,6.893,46.487,-223,25,22,"JMP","L","LC3"
"0021300381",525,201959,"Taj","Gibson","OKC","CHI","2013-12-19","MISS Gibson 26' 3PT Jump Shot",1.988,-34.745,67.224,29.745,111,231,25,"JMP","RC","AB3"
"0021300382",292,201988,"Patty","Mills","GSW","SAS","2013-12-19","MISS Mills 19' Jump Shot",1.277,-32.694,68.668,26.527,80,170,18,"JMP","RC","MR"
"0021300383",169,202323,"Evan","Turner","PHI","BKN","2013-12-20","MISS Turner 18' Jump Shot",1.235,-33.069,11.023,5.484,174,19,17,"JMP","R","MR"
"0021300383",193,202323,"Evan","Turner","PHI","BKN","2013-12-20","MISS Turner 27' 3PT Jump Shot",2.572,-31.227,9.16,46.778,-196,179,26,"JMP","LC","AB3"
"0021300383",376,101154,"Andray","Blatche","PHI","BKN","2013-12-20","MISS Blatche 26' 3PT Jump Shot",1.323,-31.564,17.745,46.095,-213,148,25,"JMP","LC","AB3"
"0021300383",539,101187,"Alan","Anderson","PHI","BKN","2013-12-20","MISS Anderson  3PT Jump Shot",1.153,-31.61,15.287,46.499,-229,4,22,"JMP","L","LC3"
"0021300386",22,2746,"Josh","Smith","DET","CHA","2013-12-20","MISS Smith 18' Jump Shot",1.864,-29.289,82.686,38.871,181,22,18,"JMP","R","MR"
"0021300387",21,2547,"Chris","Bosh","MIA","SAC","2013-12-20","MISS Bosh 9' Driving Hook Shot",1.84,-33.802,83.713,28.405,69,58,9,"DHS","R","PNT"
"0021300388",358,201588,"George","Hill","IND","HOU","2013-12-20","MISS G. Hill 25' 3PT Jump Shot",1.922,-32.016,65.481,17.271,-71,242,25,"JMP","C","AB3"
"0021300389",119,201942,"DeMar","DeRozan","DAL","TOR","2013-12-20","MISS DeRozan 11' Jump Shot",2.768,-29.977,80.144,18.138,-65,85,10,"JMP","L","PNT"
"0021300390",554,200751,"Randy","Foye","DEN","PHX","2013-12-20","MISS Foye 25' 3PT Jump Shot",1.277,-32.049,68.954,39.188,196,154,24,"JMP","RC","AB3"
"0021300392",115,2034,"Mike","Miller","NYK","MEM","2013-12-21","MISS Miller 21' Jump Shot",0.165,-31.043,24.189,32.569,-70,201,21,"JMP","LC","MR"
"0021300392",19,201144,"Mike","Conley","NYK","MEM","2013-12-21","MISS Conley 19' Jump Shot",1.149,-31.967,72.234,32.322,110,156,19,"JMP","RC","MR"
"0021300392",475,201144,"Mike","Conley","NYK","MEM","2013-12-21","MISS Conley 25' 3PT Jump Shot",1.345,-30.945,25.245,38.969,-128,216,25,"JMP","LC","AB3"
"0021300392",56,2216,"Zach","Randolph","NYK","MEM","2013-12-21","MISS Randolph 19' Fadeaway Jumper",1.181,-31.247,81.453,5.322,-160,97,18,"FDE","L","MR"
"0021300394",20,201229,"Anthony","Tolliver","CHA","UTA","2013-12-21","MISS Tolliver 25' 3PT Jump Shot",1.435,-32.269,66.027,17.396,-41,249,25,"JMP","C","AB3"
"0021300394",305,202330,"Gordon","Hayward","CHA","UTA","2013-12-21","MISS Hayward 13' Fadeaway Jumper",1.485,-33.097,79.48,34.694,114,71,13,"FDE","R","MR"
"0021300394",402,202683,"Enes","Kanter","CHA","UTA","2013-12-21","MISS Kanter 19' Jump Shot",1.246,-29.43,84.157,42.166,179,58,18,"JMP","R","MR"
"0021300395",162,202690,"Jimmer","Fredette","ORL","SAC","2013-12-21","MISS Fredette 17' Running Jump Shot",1.486,-31.712,19.341,29.68,-76,157,17,"RJ","LC","MR"
"0021300397",298,202087,"Alonzo","Gee","CHI","CLE","2013-12-21","MISS Gee 20' Jump Shot",2.016,-32.851,71.875,31.092,97,175,20,"JMP","RC","MR"
"0021300398",256,202688,"Brandon","Knight","MIL","PHI","2013-12-21","MISS Knight 28' 3PT Jump Shot",1.307,-31.733,29.249,31.212,-122,247,27,"JMP","LC","AB3"
"0021300398",494,2406,"Caron","Butler","MIL","PHI","2013-12-21","MISS Butler 27' 3PT Jump Shot",1.464,-30.629,16.243,46.921,-175,200,26,"JMP","LC","AB3"
"0021300399",219,201158,"Marco","Belinelli","SAS","OKC","2013-12-21","MISS Belinelli 26' 3PT Jump Shot",1.654,-31.867,19.941,44.089,-196,173,26,"JMP","LC","AB3"
"0021300399",390,203087,"Jeremy","Lamb","SAS","OKC","2013-12-21","MISS Lamb 19' Jump Shot",1.515,-33.213,13.577,10.981,173,83,19,"JMP","R","MR"
"0021300401",113,203076,"Anthony","Davis","POR","NOP","2013-12-21","MISS Davis 11' Jump Shot",1.175,-29.584,5.133,36.26,-111,1,11,"JMP","L","MR"
"0021300401",388,201583,"Ryan","Anderson","POR","NOP","2013-12-21","MISS Anderson 10' Jump Shot",1.917,-30.762,81.157,27.946,0,97,9,"JMP","C","PNT"
"0021300402",410,201939,"Stephen","Curry","GSW","LAL","2013-12-21","MISS Curry 21' Jump Shot",1.71,-31.838,76.641,45.2,147,151,21,"JMP","RC","MR"
"0021300403",38,201163,"Wilson","Chandler","LAC","DEN","2013-12-21","MISS Chandler 27' 3PT Jump Shot",1.383,-30.698,65.587,15.791,-111,242,26,"JMP","LC","AB3"
"0021300404",416,202362,"Lance","Stephenson","IND","BOS","2013-12-22","MISS Stephenson  3PT Jump Shot",1.932,-32.401,88.409,2.397,-228,-2,22,"JMP","L","LC3"
"0021300407",212,2406,"Caron","Butler","CHA","MIL","2013-12-23","MISS Butler 17' Jump Shot",1.556,-31.843,87.509,6.856,-161,39,16,"JMP","L","MR"
"0021300407",27,203507,"Giannis","Antetokounmpo","CHA","MIL","2013-12-23","MISS Antetokounmpo 25' 3PT Jump Shot",1.449,-31.778,71.484,8.67,-161,195,25,"JMP","LC","AB3"
"0021300407",307,201945,"Gerald","Henderson","CHA","MIL","2013-12-23","MISS Henderson 19' Jump Shot",1.347,-32.664,70.906,14.849,-101,164,19,"JMP","LC","MR"
"0021300407",324,202689,"Kemba","Walker","CHA","MIL","2013-12-23","MISS Walker 15' Jump Shot",1.378,-32.298,78.404,13.145,-109,105,15,"JMP","L","MR"
