"gid","rid","pid","fnm","lnm","htm","atm","dt","d","dc","g","rx","ry","lcx","lcy","dst","shtp","shza","shzb"
"0021300022",21,203078,"Bradley","Beal","WAS","PHI","2013-11-01","MISS Beal 16' Jump Shot",0.969,-30.945,19.498,34.385,-122,99,15,"JMP","L","MR"
"0021300022",321,203487,"Michael","Carter-Williams","WAS","PHI","2013-11-01","MISS Carter-Williams  3PT Jump Shot",1.334,-31.627,4.845,47.495,-229,19,22,"JMP","L","LC3"
"0021300022",416,202721,"Darius","Morris","WAS","PHI","2013-11-01","MISS Morris 18' Jump Shot",0.988,-30.975,22.593,20.335,89,153,17,"JMP","RC","MR"
"0021300023",293,2594,"Kyle","Korver","ATL","TOR","2013-11-01","MISS Korver 26' 3PT Jump Shot",1.118,-31.431,19.943,6.704,171,194,25,"JMP","RC","AB3"
"0021300023",355,203544,"Pero","Antic","ATL","TOR","2013-11-01","MISS Antic 26' 3PT Jump Shot",1.44,-32.436,26.883,36.434,-97,236,25,"JMP","LC","AB3"
"0021300023",390,201942,"DeMar","DeRozan","ATL","TOR","2013-11-01","MISS DeRozan 26' 3PT Jump Shot",1.343,-31.744,74.147,4.639,168,195,25,"JMP","RC","AB3"
"0021300024",127,203489,"Nate","Wolters","BOS","MIL","2013-11-01","MISS Wolters 14' Jump Shot",0.375,-31.059,77.192,24.912,32,137,14,"JMP","C","PNT"
"0021300026",337,2746,"Josh","Smith","MEM","DET","2013-11-01","MISS Smith 24' 3PT Jump Shot",2.47,-31.357,85.171,47.438,239,22,24,"JMP","R","RC3"
"0021300026",469,202713,"Kyle","Singler","MEM","DET","2013-11-01","MISS Singler 20' Jump Shot",1.628,-31.789,69.812,24.063,-19,197,19,"JMP","C","MR"
"0021300027",121,201593,"Nikola","Pekovic","MIN","OKC","2013-11-01","MISS Pekovic 7' Jump Shot",1.307,-32.827,79.581,23.542,9,72,7,"JMP","C","PNT"
"0021300027",459,203460,"Andre","Roberson","MIN","OKC","2013-11-01","MISS Roberson 26' 3PT Jump Shot",2.146,-31.977,73.782,43.002,182,179,25,"JMP","RC","AB3"
